public_sku,manufacturer_mpn,manufacturer,title,pricing_status,confidence,reason,proposed_retail_price,pricing_approved,approved_public_price,evidence_urls
"C4-CJM","C4-CJM","Antennas Direct","Clearstream 4 Outdoor Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/antennas-direct-clearstream-4-uhf-indoor-outdoor-tv-antenna-multi-directional-70-mile-range-4k-8k-uhd-nextgen-tv-20-mast-black/J3R4FK5JWZ/sku/10750077/reviews | https://www.solidsignal.com/antennas-direct-clearstream-4-hdtv-antenna-with-j-mount-c4-cjm | https://www.bestbuy.com/site/antennas-direct-clearstream-digital-tv-antenna/9151687.p?skuId=9151687 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/2024-PDF-QS/C4-CJM_QS_2024-01.pdf"
"BX1000M","BX1000M","APC","1000VA 8-OUT Back Ups Pro","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://shopsavvy.com/products/apc-ups-bx1000m"
"BX850M","BX850M","APC","850VA 8-OUT Back Ups Pro","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/306378972 | https://www.itdevicesonline.com/product-details/119130 | https://www.bhphotovideo.com/c/product/1322671-REG/apc_back_ups_pro_bx850m.html/ask-question"
"ATCRL32102","ATCRL32102","At&t","DECT Big Button Cordless Das","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"P300","P300","Clarity","Amplified Photo Phone","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/clarity-76593-p300-amplified-corded-photo-phone-white/JXVSL7P79S/sku/12569931"
"52703","52703","Clarity","Expandable Handset","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"53712","53712","Clarity","Amp Cordless Phone W/dig Answr","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.quill.com/clarity-53712-amplified-cordless-phone-system-with-digital-answering-system/cbs/404226.html"
"53714","53714","Clarity","D714 40DB Ampd Cordless Phone","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.realtor.com/local/market/wisconsin/zipcode-53714 | https://www.staples.com/Clarity-53714-Dect-6-0-Amplified-Cordless-Phone-With-Digital-Answering-System/product_2442319"
"54505.001","54505.001","Clarity","Alto Plus Amp Corded Phone","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.headsetzone.com/54505-001.html"
"59865.001","59865.001","Clarity","XLC8 DECT 6.0 50 dB Amplified Cordless Phone System","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/clarity-1-cordless-handset-dect-6-0-50-db-amplified-phone-system-for-landline-answering-system-call-blocker-red-ringer-xlc8-white/J3QKFVPSQT/sku/12164620"
"59234.001","59234.001","Clarity","DECT 6.0 50 dB Amplified Cordless Phone with Big Buttons","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"CP1500AVRLCD3","CP1500AVRLCD3","Cyberpower","Intelligent Lcd Ups","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.cyberpowersystems.com/product/ups/intelligent-lcd/cp1500avrlcd3/ | https://shopsavvy.com/products/cyberpower-cp1500avrlcd3-ups | https://www.itdevices.ca/product-details/145019 | https://www.cdw.com/product/cyberpower-intelligent-lcd-cp1500avrlcd3-ups-900-watt-1500-va/7267655?msockid=3b554890a5c96d5512905f95a4d06ce8"
"45-0001-UWH","45-0001-UWH","Datacomm Electronics","Uwhite 1 Gang Recessed","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/datacomm-electronics-45-0001-uwh-recessed-low-voltage-cable-plate-ultra-white-1-gang.html"
"50-3321-WH-KIT","50-3321-WH-KIT","Datacomm Electronics","Flat Panel Cable Org Rem Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://datacommelectronics.com/wp-content/uploads/2023/12/50-3321-WH-KIT_FS_12_2023.pdf | https://media.digikey.com/pdf/Data%20Sheets/DataComm%20Electronics%20PDFs/50-3321-WH-KIT.pdf"
"50-3323-WH-KIT","50-3323-WH-KIT","Datacomm Electronics","Recessed Pair Power Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.clasf.co/datacomm-50-3323-wh-kit-kit-de-organizador-de-cable-de-tv-de-en-colombia-5570403/"
"50-6623-WH-KIT","50-6623-WH-KIT","Datacomm Electronics","Flat Panel Cable Org Dup Power","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.lowes.com/pd/DataComm-Electronics-Flat-Panel-TV-Cable-Organizer-Kit-with-Duplex-Power-Solution/5000040399 | https://cablingplus.com/products/50-6623-wh-kit-datacomm-cable-organizer-kit | https://www.datacommelectronics.com/resources/50-6623-wh-kit-instruction-sheet-10-2019.pdf"
"500256","500256","Eagle Aspen","25 Db Distribution Amp","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"DTV2BUHF","DTV2BUHF","Eagle Aspen","2-BAY UHF Outdoor Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/eagle-aspen-dtv2buhf-2-bay-uhf-outdoor-antenna.html"
"500302","500302","Eagle Aspen","2-WAY 1000 MHz Splitter","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"500303","500303","Eagle Aspen","3WAY All Port Power Splittr","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.zoro.com/eagle-aspen-all-port-power-passing-3-way-1000mhz-splitter-500303/i/G0315376/"
"500308","500308","Eagle Aspen","2-WAY Splitter","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"500312","500312","Eagle Aspen","4-WAY Splitter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://summitsource.com/eagle-aspen-500312-4-way-splitter-5-2600-mhz-all-port-power-passing-2-ghz-commercial-grade-signal-digital-tv-antenna-lnbf-receiver-catv-separator-all-port-dc-passive-dls-divider-part-500312/"
"EIS3-1004-WHT","EIS3-1004-WHT","Energizer Connect","6OT Smart Surge Protector","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.lowes.com/pd/Energizer-Connect-6-Outlet-1200-Joules-1875-Watt-1875Va-Indoor-Ac-Surge-Protector/5014191347"
"AS-HP-5R","AS-HP-5R","Helios","5OUT 2USB Surge Wall Tap","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://metrahometheater.s3.amazonaws.com/mhtg-documents/AS-HP-5R_AS-P-5R_PRODUCT_SHEET.pdf"
"CS-1X4HDMSPL5","CS-1X4HDMSPL5","Ethereal","1IN/4OUT HDMI Splitter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.compsource.com/buy/CS1X4HDMSPL5/Ethereal-4453"
"CS-C5DE","CS-C5DE","Ethereal","CAT5/6 Digital Aud Extension","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"CS-DAC2","CS-DAC2","Ethereal","Toslink/opt Spdif Converter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.compsource.com/pn/CSDAC2/Ethereal-4453/Ethereal-Csdac2-Digital-Toslinkoptical-Spdif-To-Rca-Audio-Converter-Csdac2-Csdac2/"
"CS-HDEXT4KPOEU","CS-HDEXT4KPOEU","Ethereal","4K Extender Cat6 Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.blackburnindustrial.com/products/cs-hdext4kpoeu | https://metrahometheater.s3.amazonaws.com/mhtg-documents/CS-HDEXT4KPOEU_Manual.pdf | https://manuals.plus/ethereal/cs-hdext4kpoeu-4k-hdmi-extender-over-single-cat6-manual.pdf"
"MHX-LHDME12","MHX-LHDME12","Ethereal","12M HDMI Cable 10.2G","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/ethereal-mhx-10-2-gbps-high-speed-hdmi-cable-with-ethernet-39-ft-black/J7RX7Y2JWJ/sku/10749111 | https://www.neobits.com/ethereal_mhx_lhdme12_ethereal_mhx_lhdme12_mhx_10_2_gbps_p24048335.html | https://www.zoro.com/ethereal-mhx-high-speed-hdmi-cable-with-ethernet-39ft-mhx-lhdme12/i/G610003245/"
"MHX-LHDME2","MHX-LHDME2","Ethereal","2M HDMI Cable 18G","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"MHX-LHDME4","MHX-LHDME4","Ethereal","4M HDMI Cable 18G","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/ethereal-mhx-lhdme4-mhx-24-gbps-high-speed-hdmi-cable-with-ethernet-13-ft-black/J7RX7Y2JQ5"
"MHX-T15","MHX-T15","Ethereal","MHX Series TOSLINK Digital Optical Audio Cable, 15 m","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"UHF-04M-S1234","UHF-04M-S1234","Gemini","UHF-04M Wireless Prof System","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.target.com/p/-/A-1005594868 | https://www.bestbuy.com/product/gemini-sound-uhf-04m-wireless-cordless-professional-set-of-4-handheld-black/JX59RVZX55/sku/12484870"
"30-495","30-495","Ideal","Mod Plug Crimp Tool","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://osrami.com/productos/30-495"
"31-340","31-340","Ideal","Powr-Fish Heavy-Duty Pull Line, 6,500 ft","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"33-396","33-396","Ideal","RJ45/RJ11 Crimp Tool Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.acehardware.com/departments/lighting-and-electrical/electrical-tools/wire-strippers-and-cutters/3017195 | https://www.leroymerlin.it/prodotti/ideal-33-396-data-voice-crimpatrice-92352907.html | https://www.partstown.com/ideal/idl33-396"
"33-507","33-507","Ideal","RJ45 Trmnation Hip Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/313787860?MERCH=REC-_-pip_alternatives-_-100083355-_-4-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa"
"35-088","35-088","Ideal","Electr Scissors With Notch","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.newark.com/ideal/35-088/scissors-electrician-w-strip-notch/dp/05H8037 | https://www.gordonelectricsupply.com/p/Ideal-35-088-Electrician-Scissors/5608898 | https://www.northcoast.com/product/detail/106695/ideal-industries-35-088 | https://www.elliottelectric.com/Media/35088-IDE"
"45-121","45-121","Ideal","T-Stripper Wire Stripper for 14–24 Solid and 16–26 Stranded Wire","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://osrami.com/productos/45-121 | https://pt.rs-online.com/web/p/pelacables/2857566 | https://www.tequipment.net/Ideal45-121.asp | https://www.lowes.com/pd/iDeal-Industries-45-121-T6-Wire-Stripper-for-16-26-AWG-Stranded-Wire/5019053315"
"45-915","45-915","Ideal","Kinetic Reflex T-Stripper Wire Stripper","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"62-200","62-200","Ideal","Linkmaster Ethernet","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.radwell.com/Buy/IDEAL/IDEAL/62-200 | https://www.standardelectricsupply.com/IDEAL-62-200-LinkMaster-Circuit-Tester | https://www.newark.com/ideal/62-200/cable-tester-rj45-rohs-compliant/dp/79AK3251 | https://www.homedepot.com/p/100091453?MERCH=REC-_-brand_based_collection-_-308990482-_-2-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa"
"85-366","85-366","Ideal","Cat6 RJ45 Plug 25/CD","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.newark.com/ideal/85-366/rj45-modular-plug-8way-1port/dp/63R9367"
"85-368","85-368","Ideal","25PK CAT6/5 Mod Plug","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://at.rs-online.com/web/p/ethernet-steckverbinder/0205122 | https://es.farnell.com/ideal/85-368/conector-rj45-macho-8p8c-cat6/dp/3531115"
"85-369","85-369","Ideal","50PK CAT6/5 Mod Plug","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.idealelectrical.com/aie/category/Data-Security-and-Automation/Modular-Connectors/Modular-connector/Shielded-Feed-Thru-Cat6A-6-5E-Modular-Plug/IDD85-369/p/14315459 | https://www.standardelectricsupply.com/2449718-IDEAL-85-369"
"85-371","85-371","Ideal","50PK Cat5e RJ45 Plugs","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.standardelectricsupply.com/IDEAL-85-371-Modular-Plug"
"85-372","85-372","Ideal","100PK Cat5e RJ45 Plugs","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","60.27","true","60.27","https://www.tequipment.net/Ideal/85-372/ | https://www.homedepot.com/p/308166578 | https://it.rs-online.com/web/p/connettori-per-telecomunicazioni/2857586 | https://fr.rs-online.com/web/p/connecteurs-telecom/2857586"
"85-376","85-376","Ideal","50PK Cat6 RJ45 Plugs","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"85-377","85-377","Ideal","100PK Cat6 RJ45 Plugs","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.tequipment.net/Ideal/85-377/ | https://fr.rs-online.com/web/p/connecteurs-telecom/2857589 | https://www.newark.com/ideal/85-377/rj45-connector-plug-8p8c-cat6/dp/79AK1337 | https://www.radwell.co.uk/Buy/IDEAL/IDEAL/85-377"
"86-396","86-396","Ideal","RJ45 Mod Plug Bag Of 100","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"89-5047","89-5047","Ideal","RG59 BNC Compression","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://osrami.com/productos/89-5047 | https://www.tequipment.net/Ideal89-5047.html | https://www.steinerelectric.com/Product/Ideal-89-5047-Type-BNC-Compression-Connector20-18-AWG-CableRG-59-Cable-531523"
"DPS-1100 USB","DPS-1100 USB","Koblenz","Desk Charging Station","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://koblenz.com/products/desk-charging-station-dps-1100-usb"
"KRA-22M","KRA-22M","Kenwood","UHF Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.webstaurantstore.com/kenwood-kra-22m-vhf-low-profile-helical-antenna-for-nx-p-and-tk-series/105KRA22M.html | https://www.onedirect.nl/kenwood/korte-antenne-vhf-kra-22m"
"KRA-23M","KRA-23M","Kenwood","VHF Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/kenwood-vhf-antenna-for-kenwood-2-way-radios-kra-23m.html | https://www.radiotronics.co.uk/kenwood-kra23"
"56-200","56-200","Labor Saving Devices","Decoil-zit","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"81-000","81-000","Labor Saving Devices","Creepzit Pro 36FT Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.asap-ittechnology.com/quote/labor-saving-devices/81000/"
"81-130","81-130","Labor Saving Devices","Creep-zit Wire Running Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.jmac.com/Labor_Saving_Devices_CZ30_81_130__p/LABOR-SAVING-DEVICES-81-130.htm"
"81-230","81-230","Labor Saving Devices","Connector Wire Rod Kit","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"81-600","81-600","Labor Saving Devices","Creepzit Compact 24FT Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://electroeshop.com/products/labor-saving-devices-81-600-wire-running-rod-kit-green"
"81-700","81-700","Labor Saving Devices","Royrods Wire Running Kit","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.asap-ittechnology.com/quote/labor-saving-devices/81700/"
"82-110","82-110","Labor Saving Devices","Grabbit Mini 10 ft Pole","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"82-118","82-118","Labor Saving Devices","18 ft Grabbit Pole","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"82-350","82-350","Labor Saving Devices","Grabbit Ztip Adapter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.jmac.com/Labor_Saving_Devices_ZTIP_82_350__p/LABOR-SAVING-DEVICES-ZTIP.htm"
"85-124","85-124","Labor Saving Devices","Wet Noodle & Retriever","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"33202","33202","Stanley","4OUT Surgequad USB Surge","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"910-1001","910-1001","Nanuk","910 Case W/foam Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.ceneo.pl/182410715 | https://geizhals.de/nanuk-910-schutzkoffer-mit-schaumstoff-schwarz-910-1001-a2892792.html | https://www.acehardware.com/departments/tools/tools-storage-and-organization/tool-storage-bins/2021118 | https://www.yic-electronics.com/pdf/910-1001.html"
"925S-060BK-0A0","925S-060BK-0A0","Nanuk","925 Cam Case W/org Dividr","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.abt.com/NANUK-925-Camera-Case-Pro-Photo-Kit-in-Black-925S060BK0A0/p/235796.html | https://www.bestbuy.com/product/nanuk-925-universal-protective-hard-case-with-insert-for-photography-black/JXYXPKS54X/sku/12186246 | https://www.beachaudio.com/nanuk-925s-060bk-0a0-925-protective-hard-case-with-insert-for-photography-black/"
"963-1001","963-1001","Nanuk","Case 963 With Foam Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.toppreise.ch/produktsuche?q=nanuk+nk-ws-963-1001 | https://www.bestbuy.com/product/nanuk-963-waterproof-wheeled-hard-case-with-foam-insert-black/JXYXPKS6LG/sku/10312701 | https://www.bhphotovideo.com/c/product/803260424-USE/nanuk_963_1001_963_wheeled_hard_case_nbsp_with.html"
"965-1001","965-1001","Nanuk","Case 965 With Foam Black","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"PB802105","PB802105","Prime","1OUT 900J Surge Tap","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/339397953"
"PBRUSB346S-A","PBRUSB346S-A","Prime","6OUT 1200J Surge Tap","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/prime-pbrusb346s-a-6-swiveling-ac-outlet-and-2-usb-port-surge-protector-wall-tap-pbrusb346s-a-white/J7LVXH75S9"
"PCBLCO102","PCBLCO102","Pyle","Cable Protector Ramp with Flip-Open Access Lid","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.pyleaudio.com/sku/PCBLCO102/ | https://www.kohls.com/product/prd-8059294/pyle-cable-protector-cover-ramp-1-channel-safety-track-with-flip-open-lid-pcblco102-yellow.jsp | https://www.newegg.com/pyle-pcblco102-cable-protection-systems/p/0SV-006A-00020"
"PDWM2145","PDWM2145","Pyle","Fixed Freq Wireless Mic System","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.pyleaudio.com/sku/PDWM2145 | https://www.bestbuy.com/site/pyle-pro-2-channel-vhf-wireless-microphone-system-black/5706268.p | https://www.staples.com/PYLE-PRO-PDWM2145-VHF-Fixed-Frequency-Wireless-Microphone-System/product_2139699 | https://equipboard.com/items/pyle-pdwm2145-vhf-wireless-microphone-system"
"PDWM3375","PDWM3375","Pyle","2CH Wireless Mic System","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.target.com/p/-/A-92340921 | https://micwisys.com/pdwm3375"
"PDWM3400","PDWM3400","Pyle","Premier Wireless Mic System","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"PDBC70","PDBC70","Pyle","9O 15A Power Switch Control","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://pyleaudio.com/Manuals/PCO850.pdf"
"PDWM4120","PDWM4120","Pyle","H&o UHF Wireless Mic System","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://pyleusa.com/products/pdwm4120 | https://www.bhphotovideo.com/c/product/1526332-REG/pyle_pro_pdwm4120_bluetooth_uhf_4_handheld.html/specs | https://www.bhphotovideo.com/lit_files/829213.pdf"
"AMP1450E","AMP1450E","RCA","Digi Amp For Indoor Antna","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"ANT111E","ANT111E","RCA","Indoor Passive Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.pcrichard.com/rca-indoor-fm-and-hdtv-antenna-black/ANT111E.html | https://www.petra.com/rca-ant111e-indoor-fm-and-hdtv-antenna.html"
