public_sku,manufacturer_mpn,manufacturer,shipping_class,packaged_weight_lb,dimensional_weight_lb,billed_weight_lb,length_in,width_in,height_in,packaging_assumption,dimensional_weight_concerns,suggested_ups_ground_flat,suggested_rate_range,manual_quote_required,shipping_evidence_urls
"BX850M","BX850M","APC","medium","18","7","18","17.2","10.1","5.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"ATCRL32102","ATCRL32102","At&t","small","1.71","2","2","9","6","4.4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 2 lb exceeds supplier estimated ship weight 1.71 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"P300","P300","Clarity","small","2.55","3","3","10.5","9.8","2.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 3 lb exceeds supplier estimated ship weight 2.55 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"52703","52703","Clarity","small","1.15","1","2","7.7","4.9","3.5","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"53712","53712","Clarity","small","1.65","2","2","7.5","4.7","4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 2 lb exceeds supplier estimated ship weight 1.65 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"53714","53714","Clarity","small","1.6","2","2","7.5","4.7","4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 2 lb exceeds supplier estimated ship weight 1.6 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"54505.001","54505.001","Clarity","small","5.59","5","6","13","11.7","4.3","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"59865.001","59865.001","Clarity","small","5.23","4","6","11.5","10.1","4.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"59234.001","59234.001","Clarity","small","5.23","4","6","10.9","10.4","3.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"CP1500AVRLCD3","CP1500AVRLCD3","Cyberpower","medium","26.6","15","27","18.1","14.6","7.7","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"45-0001-UWH","45-0001-UWH","Datacomm Electronics","small","0.32","1","1","5","3","3","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.32 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"50-3321-WH-KIT","50-3321-WH-KIT","Datacomm Electronics","small","1.52","2","2","8.2","5.5","4.7","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 2 lb exceeds supplier estimated ship weight 1.52 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"50-3323-WH-KIT","50-3323-WH-KIT","Datacomm Electronics","small","3.63","3","4","9.1","5.9","5.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"50-6623-WH-KIT","50-6623-WH-KIT","Datacomm Electronics","small","3.63","3","4","9.3","7.4","5.4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"500256","500256","Eagle Aspen","small","0.72","1","1","3.9","3.1","2.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.72 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"DTV2BUHF","DTV2BUHF","Eagle Aspen","small","8.93","5","9","19.8","12.8","2.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"500302","500302","Eagle Aspen","small","0.15","1","1","2.25","2.25","0.75","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.15 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"500303","500303","Eagle Aspen","small","0.21","1","1","3","2","0.5","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.21 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"500308","500308","Eagle Aspen","small","0.13","1","1","2.3","2","0.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.13 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"500312","500312","Eagle Aspen","small","0.2","1","1","3","1.8","0.6","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.2 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"EIS3-1004-WHT","EIS3-1004-WHT","Energizer Connect","small","1.38","1","2","14.7","4.2","2.2","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"AS-HP-5R","AS-HP-5R","Helios","small","1","1","1","6.4","4.5","2.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"CS-1X4HDMSPL5","CS-1X4HDMSPL5","Ethereal","small","1.1","2","2","8.6","7.4","2.4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 2 lb exceeds supplier estimated ship weight 1.1 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"CS-C5DE","CS-C5DE","Ethereal","small","0.76","1","1","8.2","6","2.1","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.76 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"CS-DAC2","CS-DAC2","Ethereal","small","0.63","1","1","7.5","4.8","2.2","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.63 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"CS-HDEXT4KPOEU","CS-HDEXT4KPOEU","Ethereal","small","2.55","2","3","9.5","7.1","3.2","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"MHX-LHDME12","MHX-LHDME12","Ethereal","small","4.14","2","5","12","12","1.75","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"MHX-LHDME2","MHX-LHDME2","Ethereal","small","0.21","1","1","6.75","5.5","0.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.21 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"MHX-LHDME4","MHX-LHDME4","Ethereal","small","0.55","1","1","6.5","6.5","0.9","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.55 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"MHX-T15","MHX-T15","Ethereal","small","1.27","2","2","11.75","10","1.5","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 2 lb exceeds supplier estimated ship weight 1.27 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"UHF-04M-S1234","UHF-04M-S1234","Gemini","small","9.34","9","10","19.7","11.1","5.1","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"30-495","30-495","Ideal","small","0.8","1","1","9.9","6.3","1.25","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.8 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"31-340","31-340","Ideal","medium","14.24","15","15","13.3","12.4","12","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 15 lb exceeds supplier estimated ship weight 14.24 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"33-396","33-396","Ideal","small","0.95","1","1","10","6.5","1.3","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.95 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"33-507","33-507","Ideal","small","2.18","2","3","10","6.15","3.75","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","No DIM-weight uplift indicated by recorded dimensions. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"35-088","35-088","Ideal","small","0.3","1","1","8.4","2.95","0.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.3 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"45-121","45-121","Ideal","small","0.4","1","1","7.7","4.2","0.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.4 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"45-915","45-915","Ideal","small","0.4","1","1","8.9","4.1","1.3","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.4 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"62-200","62-200","Ideal","small","0.68","1","1","10.25","5.15","1.8","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.68 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"85-366","85-366","Ideal","small","0.72","1","1","5.7","2.9","2.1","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.72 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"85-368","85-368","Ideal","small","0.3","1","1","5.75","2.95","2","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.3 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"85-369","85-369","Ideal","small","0.72","1","1","4.7","2.75","2.75","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.72 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"85-371","85-371","Ideal","small","0.3","1","1","5.75","2.9","1.9","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.3 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
"85-372","85-372","Ideal","small","0.45","1","1","4.5","3.5","1.4","Supplier dimensions and estimated ship weight are screening inputs only; no packaging adder was invented. Verify a packed unit before activation.","DIM weight 1 lb exceeds supplier estimated ship weight 0.45 lb. Within the 130-in large-package screening threshold.","","Not proposed—requires origin ZIP, destination zone, negotiated account rate, and surcharge validation.","false","https://www.ups.com/us/en/support/shipping-support/shipping-dimensions-weight | https://www.ups.com/us/en/support/shipping-support/shipping-costs-rates/daily-rates"
