public_sku,manufacturer_mpn,manufacturer,category,title,lowest_reliable_price,typical_public_price,highest_reasonable_price,proposed_retail_price,pricing_evidence_urls,evidence_date,confidence,pricing_status,notes
"MHX-LHDME2","MHX-LHDME2","Ethereal","Network Cabling & Connectors","2M HDMI Cable 18G","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MHX-LHDME4","MHX-LHDME4","Ethereal","Network Cabling & Connectors","4M HDMI Cable 18G","37.99","37.99","37.99","","https://www.bestbuy.com/product/ethereal-mhx-lhdme4-mhx-24-gbps-high-speed-hdmi-cable-with-ethernet-13-ft-black/J7RX7Y2JQ5","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"MHX-T15","MHX-T15","Ethereal","Network Cabling & Connectors","MHX Series TOSLINK Digital Optical Audio Cable, 15 m","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"UHF-04M-S1234","UHF-04M-S1234","Gemini","Antennas & RF","UHF-04M Wireless Prof System","","","","","https://www.target.com/p/-/A-1005594868 | https://www.bestbuy.com/product/gemini-sound-uhf-04m-wireless-cordless-professional-set-of-4-handheld-black/JX59RVZX55/sku/12484870","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"30-495","30-495","Ideal","Telecom Tools","Mod Plug Crimp Tool","","","","","https://osrami.com/productos/30-495","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"31-340","31-340","Ideal","Cable Management","Powr-Fish Heavy-Duty Pull Line, 6,500 ft","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"33-396","33-396","Ideal","Telecom Tools","RJ45/RJ11 Crimp Tool Kit","","","","","https://www.acehardware.com/departments/lighting-and-electrical/electrical-tools/wire-strippers-and-cutters/3017195 | https://www.leroymerlin.it/prodotti/ideal-33-396-data-voice-crimpatrice-92352907.html | https://www.partstown.com/ideal/idl33-396","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"33-507","33-507","Ideal","Network Cabling & Connectors","RJ45 Trmnation Hip Kit","","","","","https://www.homedepot.com/p/313787860?MERCH=REC-_-pip_alternatives-_-100083355-_-4-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"35-088","35-088","Ideal","Cable Management","Electr Scissors With Notch","","","","","https://www.newark.com/ideal/35-088/scissors-electrician-w-strip-notch/dp/05H8037 | https://www.gordonelectricsupply.com/p/Ideal-35-088-Electrician-Scissors/5608898 | https://www.northcoast.com/product/detail/106695/ideal-industries-35-088 | https://www.elliottelectric.com/Media/35088-IDE","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"45-121","45-121","Ideal","Telecom Tools","T-Stripper Wire Stripper for 14–24 Solid and 16–26 Stranded Wire","","","","","https://osrami.com/productos/45-121 | https://pt.rs-online.com/web/p/pelacables/2857566 | https://www.tequipment.net/Ideal45-121.asp | https://www.lowes.com/pd/iDeal-Industries-45-121-T6-Wire-Stripper-for-16-26-AWG-Stranded-Wire/5019053315","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"45-915","45-915","Ideal","Telecom Tools","Kinetic Reflex T-Stripper Wire Stripper","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"62-200","62-200","Ideal","Telecom Tools","Linkmaster Ethernet","","","","","https://www.radwell.com/Buy/IDEAL/IDEAL/62-200 | https://www.standardelectricsupply.com/IDEAL-62-200-LinkMaster-Circuit-Tester | https://www.newark.com/ideal/62-200/cable-tester-rj45-rohs-compliant/dp/79AK3251 | https://www.homedepot.com/p/100091453?MERCH=REC-_-brand_based_collection-_-308990482-_-2-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa-_-n%2Fa","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-366","85-366","Ideal","Network Cabling & Connectors","Cat6 RJ45 Plug 25/CD","","","","","https://www.newark.com/ideal/85-366/rj45-modular-plug-8way-1port/dp/63R9367","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-368","85-368","Ideal","Network Cabling & Connectors","25PK CAT6/5 Mod Plug","","","","","https://at.rs-online.com/web/p/ethernet-steckverbinder/0205122 | https://es.farnell.com/ideal/85-368/conector-rj45-macho-8p8c-cat6/dp/3531115","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-369","85-369","Ideal","Network Cabling & Connectors","50PK CAT6/5 Mod Plug","","","","","https://www.idealelectrical.com/aie/category/Data-Security-and-Automation/Modular-Connectors/Modular-connector/Shielded-Feed-Thru-Cat6A-6-5E-Modular-Plug/IDD85-369/p/14315459 | https://www.standardelectricsupply.com/2449718-IDEAL-85-369","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-371","85-371","Ideal","Network Cabling & Connectors","50PK Cat5e RJ45 Plugs","","","","","https://www.standardelectricsupply.com/IDEAL-85-371-Modular-Plug","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-372","85-372","Ideal","Network Cabling & Connectors","100PK Cat5e RJ45 Plugs","57.53","60.27","63","60.27","https://www.tequipment.net/Ideal/85-372/ | https://www.homedepot.com/p/308166578 | https://it.rs-online.com/web/p/connettori-per-telecomunicazioni/2857586 | https://fr.rs-online.com/web/p/connecteurs-telecom/2857586","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"85-376","85-376","Ideal","Network Cabling & Connectors","50PK Cat6 RJ45 Plugs","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-377","85-377","Ideal","Network Cabling & Connectors","100PK Cat6 RJ45 Plugs","78.76","78.76","78.76","","https://www.tequipment.net/Ideal/85-377/ | https://fr.rs-online.com/web/p/connecteurs-telecom/2857589 | https://www.newark.com/ideal/85-377/rj45-connector-plug-8p8c-cat6/dp/79AK1337 | https://www.radwell.co.uk/Buy/IDEAL/IDEAL/85-377","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"86-396","86-396","Ideal","Network Cabling & Connectors","RJ45 Mod Plug Bag Of 100","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"89-5047","89-5047","Ideal","Network Cabling & Connectors","RG59 BNC Compression","","","","","https://osrami.com/productos/89-5047 | https://www.tequipment.net/Ideal89-5047.html | https://www.steinerelectric.com/Product/Ideal-89-5047-Type-BNC-Compression-Connector20-18-AWG-CableRG-59-Cable-531523","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DPS-1100 USB","DPS-1100 USB","Koblenz","Network Equipment","Desk Charging Station","","","","","https://koblenz.com/products/desk-charging-station-dps-1100-usb","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"KRA-22M","KRA-22M","Kenwood","Antennas & RF","UHF Antenna","","","","","https://www.webstaurantstore.com/kenwood-kra-22m-vhf-low-profile-helical-antenna-for-nx-p-and-tk-series/105KRA22M.html | https://www.onedirect.nl/kenwood/korte-antenne-vhf-kra-22m","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"KRA-23M","KRA-23M","Kenwood","Antennas & RF","VHF Antenna","22","22","22","","https://www.petra.com/kenwood-vhf-antenna-for-kenwood-2-way-radios-kra-23m.html | https://www.radiotronics.co.uk/kenwood-kra23","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"56-200","56-200","Labor Saving Devices","Cable Management","Decoil-zit","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"81-000","81-000","Labor Saving Devices","Network Cabling & Connectors","Creepzit Pro 36FT Kit","","","","","https://www.asap-ittechnology.com/quote/labor-saving-devices/81000/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"81-130","81-130","Labor Saving Devices","Network Cabling & Connectors","Creep-zit Wire Running Kit","","","","","https://www.jmac.com/Labor_Saving_Devices_CZ30_81_130__p/LABOR-SAVING-DEVICES-81-130.htm","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"81-230","81-230","Labor Saving Devices","Network Cabling & Connectors","Connector Wire Rod Kit","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"81-600","81-600","Labor Saving Devices","Network Cabling & Connectors","Creepzit Compact 24FT Kit","","","","","https://electroeshop.com/products/labor-saving-devices-81-600-wire-running-rod-kit-green","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"81-700","81-700","Labor Saving Devices","Network Cabling & Connectors","Royrods Wire Running Kit","","","","","https://www.asap-ittechnology.com/quote/labor-saving-devices/81700/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"82-110","82-110","Labor Saving Devices","Network Cabling & Connectors","Grabbit Mini 10 ft Pole","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"82-118","82-118","Labor Saving Devices","Network Cabling & Connectors","18 ft Grabbit Pole","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"82-350","82-350","Labor Saving Devices","Cable Management","Grabbit Ztip Adapter","","","","","https://www.jmac.com/Labor_Saving_Devices_ZTIP_82_350__p/LABOR-SAVING-DEVICES-ZTIP.htm","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"85-124","85-124","Labor Saving Devices","Cable Management","Wet Noodle & Retriever","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"33202","33202","Stanley","Network Equipment","4OUT Surgequad USB Surge","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"910-1001","910-1001","Nanuk","Terminals, Jacks & Wall Plates","910 Case W/foam Black","","","","","https://www.ceneo.pl/182410715 | https://geizhals.de/nanuk-910-schutzkoffer-mit-schaumstoff-schwarz-910-1001-a2892792.html | https://www.acehardware.com/departments/tools/tools-storage-and-organization/tool-storage-bins/2021118 | https://www.yic-electronics.com/pdf/910-1001.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"925S-060BK-0A0","925S-060BK-0A0","Nanuk","Terminals, Jacks & Wall Plates","925 Cam Case W/org Dividr","","","","","https://www.abt.com/NANUK-925-Camera-Case-Pro-Photo-Kit-in-Black-925S060BK0A0/p/235796.html | https://www.bestbuy.com/product/nanuk-925-universal-protective-hard-case-with-insert-for-photography-black/JXYXPKS54X/sku/12186246 | https://www.beachaudio.com/nanuk-925s-060bk-0a0-925-protective-hard-case-with-insert-for-photography-black/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"963-1001","963-1001","Nanuk","Terminals, Jacks & Wall Plates","Case 963 With Foam Black","","","","","https://www.toppreise.ch/produktsuche?q=nanuk+nk-ws-963-1001 | https://www.bestbuy.com/product/nanuk-963-waterproof-wheeled-hard-case-with-foam-insert-black/JXYXPKS6LG/sku/10312701 | https://www.bhphotovideo.com/c/product/803260424-USE/nanuk_963_1001_963_wheeled_hard_case_nbsp_with.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"965-1001","965-1001","Nanuk","Terminals, Jacks & Wall Plates","Case 965 With Foam Black","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PB802105","PB802105","Prime","Network Equipment","1OUT 900J Surge Tap","","","","","https://www.homedepot.com/p/339397953","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"PBRUSB346S-A","PBRUSB346S-A","Prime","Network Equipment","6OUT 1200J Surge Tap","33.99","33.99","33.99","","https://www.bestbuy.com/product/prime-pbrusb346s-a-6-swiveling-ac-outlet-and-2-usb-port-surge-protector-wall-tap-pbrusb346s-a-white/J7LVXH75S9","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
